drug_1,drug_2,similarity
UROFOLLITROPIN,SELEPRESSIN,0.7196
SUFENTANIL,SUFENTANIL CITRATE,0.8525
DECAMETHONIUM,DECAMETHONIUM BROMIDE,0.9167
DECAMETHONIUM,HEXAMETHONIUM,1.0
MRS1041,MRS1086,0.7083
MRS1041,MRS1042,0.75
MRS1041,MRS1093,0.766
[125I]SAUVAGINE (FROG),SAUVAGINE,0.8852
MEPIVACAINE HYDROCHLORIDE,ROPIVACAINE,0.7045
MEPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,0.7273
THEOPHYLLINE SODIUM GLYCINATE,THEOPHYLLINE,0.7027
THEOPHYLLINE SODIUM GLYCINATE,AMINOPHYLLINE,0.7436
N(6)-CYCLOHEXYLADENOSINE,CYCLOPENTYLADENOSINE,0.9778
N(6)-CYCLOHEXYLADENOSINE,CCPA,0.717
N(6)-CYCLOHEXYLADENOSINE,TRABODENOSON,0.7018
N(6)-CYCLOHEXYLADENOSINE,TECADENOSON,0.7736
N(6)-CYCLOHEXYLADENOSINE,GR79236,0.7885
CELECOXIB,SC-236,0.7955
CELECOXIB,GENERIC DRUG,1.0
DRONEDARONE HYDROCHLORIDE,DRONEDARONE,0.9831
ALTANSERIN,KETANSERIN,0.8302
ALTANSERIN,[18F]ALTANSERIN,1.0
ALTANSERIN,KETANSERIN TARTRATE,0.7333
FR122047,FR-122047,1.0
BREXANOLONE,TETRAHYDRODEOXYCORTICOSTERONE,0.7442
CRIZOTINIB,UNECRITINIB,0.75
OXYPHENBUTAZONE,PHENYLBUTAZONE,0.8182
METHYLPHENIDATE HYDROCHLORIDE,DEXMETHYLPHENIDATE,0.973
INAVOLISIB,VULOLISIB,0.7746
PASIREOTIDE,PASIREOTIDE DIASPARTATE,0.8947
PASIREOTIDE,PASIREOTIDE PAMOATE,0.8333
KOS-1584,ISO-FLUDELONE,0.7465
KOS-1584,EPOTHILONE D,0.7222
AMITRIPTYLINE HYDROCHLORIDE,DOXEPIN HYDROCHLORIDE,0.7105
CLINDAMYCIN,LINCOMYCIN,0.8545
CLINDAMYCIN,LINCOMYCIN HYDROCHLORIDE,0.8393
LY-2090314,LY2090314,1.0
MAYTANSINE,MAYTANSINOL,0.7778
MAYTANSINE,BB-10901,0.7069
MAYTANSINE,KADCYLA,0.7168
MAYTANSINE,MIRVETUXIMAB SORAVTANSINE,0.7321
MAYTANSINE,LORVOTUZUMAB MERTANSINE,0.7069
PD-0166285,PD166285,1.0
CXCL12-(1-17),CXCL12-(1-9) DIMER,0.7982
CXCL12-(1-17),POMC (141-162),0.7438
CXCL12-(1-17),"PYY-(13-36) (MOUSE, RAT, PIG)",0.736
CXCL12-(1-17),ELABELA/TODDLER-21,0.7121
CXCL12-(1-17),OSTN (81-102),0.7109
CXCL12-(1-17),CT-(8-32) (SALMON),0.7348
CXCL12-(1-17),CXCL12-(1-9),0.7982
CXCL12-(1-17),ELABELA/TODDLER-32,0.7132
CXCL12-(1-17),[125I]CT (SALMON),0.7388
VINORELBINE,VINBLASTINE SULFATE,0.7257
VINORELBINE,VINORELBINE TARTRATE,0.9327
VINORELBINE,VINBLASTINE,0.7523
VINORELBINE,VINFLUNINE,0.7727
EMODIC ACID,RHEIN,0.7059
I-ABOPX,XCC,0.7344
I-ABOPX,[125I]ABOPX,1.0
LEVOFLOXACIN ANHYDROUS,OFLOXACIN,1.0
RETASPIMYCIN,RETASPIMYCIN HYDROCHLORIDE,0.9875
VAPITADINE,VAPITADINE DIHYDROCHLORIDE,0.9783
METIPRANOLOL,METIPRANOLOL HYDROCHLORIDE,0.9756
GSK-690693,GSK690693,1.0
GSK-690693,PAN-AKT KINASE INHIBITOR GSK690693,1.0
DINOPROST TROMETHAMINE,DINOPROST,0.8519
DINOPROST TROMETHAMINE,CARBOPROST TROMETHAMINE,0.7031
FINGOLIMOD-PHOSPHATE,(S)-FTY720P,1.0
FINGOLIMOD-PHOSPHATE,(S)-FTY720-PHOSPHATE,1.0
FINGOLIMOD-PHOSPHATE,ROME,0.7045
KETANSERIN,[18F]ALTANSERIN,0.8302
KETANSERIN,KETANSERIN TARTRATE,0.8727
PRAVASTATIN SODIUM,LOVASTATIN ACID,0.7206
ESZOPICLONE,ZOPICLONE,1.0
ZK-93423,ZK93423,1.0
MELATONIN,5-HEAT,0.7447
MELATONIN,[125I]SD6,0.7778
MELATONIN,N-ACETYLSEROTONIN,0.7045
LABETALOL,LABETALOL HYDROCHLORIDE,0.9783
LABETALOL,DILEVALOL HYDROCHLORIDE,0.9783
GSK2982772,ECLITASERTIB,0.7937
ANDROGEN RECEPTOR ANTAGONIST ONC1-0013B,TESTOSTERONE PROPIONATE,1.0
ANDROGEN RECEPTOR ANTAGONIST ONC1-0013B,ANDROGEN RECEPTOR ANTAGONIST TAS3681,1.0
ANDROGEN RECEPTOR ANTAGONIST ONC1-0013B,TESTOSTERONE BUCYCLATE,0.7097
ANDROGEN RECEPTOR ANTAGONIST ONC1-0013B,TESTOSTERONE CYPIONATE,0.7586
ANDROGEN RECEPTOR ANTAGONIST ONC1-0013B,TESTOSTERONE ENANTHATE,0.7895
ANDROGEN RECEPTOR ANTAGONIST ONC1-0013B,ANDROGEN RECEPTOR ANTISENSE OLIGONUCLEOTIDE AZD5312,1.0
ANDROGEN RECEPTOR ANTAGONIST ONC1-0013B,ANDROGEN RECEPTOR ANTISENSE OLIGONUCLEOTIDE EZN-4176,1.0
MASOPROCOL,INSM-18,1.0
VINCRISTINE SULFATE,VINBLASTINE SULFATE,0.9029
VINCRISTINE SULFATE,VINBLASTINE,0.8641
VINCRISTINE SULFATE,VINDESINE SULFATE,0.7658
VINCRISTINE SULFATE,VINDESINE,0.7297
THERAPEUTIC IMMUNE GLOBULIN,THERAPEUTIC STEROID HORMONE,1.0
THERAPEUTIC IMMUNE GLOBULIN,THERAPEUTIC ANDROGEN,1.0
THERAPEUTIC IMMUNE GLOBULIN,THERAPEUTIC GLUCOCORTICOID,1.0
THERAPEUTIC IMMUNE GLOBULIN,THERAPEUTIC CORTICOSTEROID,1.0
THERAPEUTIC IMMUNE GLOBULIN,THERAPEUTIC TUMOR INFILTRATING LYMPHOCYTES,1.0
THERAPEUTIC IMMUNE GLOBULIN,THERAPEUTIC HORMONE,1.0
THERAPEUTIC IMMUNE GLOBULIN,THERAPEUTIC GONADOTROPIN,1.0
THERAPEUTIC IMMUNE GLOBULIN,THERAPEUTIC AUTOLOGOUS DENDRITIC CELLS,1.0
THERAPEUTIC IMMUNE GLOBULIN,THERAPEUTIC AUTOLOGOUS LYMPHOCYTES,1.0
THERAPEUTIC IMMUNE GLOBULIN,THERAPEUTIC ESTROGEN,1.0
HEAT (BE2254),[125I]HEAT (BE2254),0.7037
HYDROCORTISONE SODIUM PHOSPHATE,HYDROCORTISONE SODIUM SUCCINATE,0.7353
HYDROCORTISONE SODIUM PHOSPHATE,HYDROCORTISONE ACETATE,0.7619
HYDROCORTISONE SODIUM PHOSPHATE,PREDNISOLONE SODIUM PHOSPHATE,0.7273
HYDROCORTISONE SODIUM PHOSPHATE,HYDROCORTISONE HEMISUCCINATE,0.7059
CODEINE ANHYDROUS,CODEINE PHOSPHATE,0.9231
CODEINE ANHYDROUS,CODEINE SULFATE,0.8889
CODEINE ANHYDROUS,MORPHINE SULFATE,0.7193
CODEINE ANHYDROUS,ETHYLMORPHINE,0.8
NMRA-140,BTRX-335140,1.0
SRIF-28,CST-17,0.7722
NPY-(2-36) (PIG),NPY-(13-36) (PIG),0.8
NPY-(2-36) (PIG),GALANIN(3-29) (PIG),0.7248
NPY-(2-36) (PIG),PEPTIDE YY (3-36),0.7303
NPY-(2-36) (PIG),GALANIN(10-29) (PIG),0.7067
NPY-(2-36) (PIG),[125I]PYY (PIG),0.7891
NPY-(2-36) (PIG),[125I]PYY-(3-36) (HUMAN),0.8151
NPY-(2-36) (PIG),NPY-(2-36),0.9507
NPY-(2-36) (PIG),[PRO34]NPY,0.8344
NPY-(2-36) (PIG),PEPTIDE YY HUMAN (3-36),0.7303
NPY-(2-36) (PIG),GALANIN(7-29) (PIG),0.7211
NPY-(2-36) (PIG),NPY-(3-36) (PIG),0.9
NPY-(2-36) (PIG),GALANIN(3-29) (RAT/MOUSE),0.7267
NPY-(2-36) (PIG),"[125I]OREXIN A (HUMAN, MOUSE, RAT)",0.7613
NPY-(2-36) (PIG),"PYY-(13-36) (MOUSE, RAT, PIG)",0.7063
NPY-(2-36) (PIG),V3 PEPTIDE,0.7267
NPY-(2-36) (PIG),"[125I]NPY (HUMAN, MOUSE, RAT)",0.82
TETRACYCLINE,CHLORTETRACYCLINE HYDROCHLORIDE,0.75
TETRACYCLINE,TETRACYCLINE HYDROCHLORIDE,0.9818
TETRACYCLINE,TETRACYCLINE PHOSPHATE COMPLEX,1.0
MONOCILLIN I,RADICICOL,0.7143
PYRAZINAMIDE,PYRAZINOIC ACID,0.7083
H2O2,HYDROGEN PEROXIDE,1.0
GAMBOGIC ACID,GAMBOGIC AMIDE,0.8875
GAMBOGIC ACID,DIHYDROGAMBOGIC ACID,0.7738
GAMBOGIC ACID,GAMBOGENIC ACID,0.7143
GAMBOGIC ACID,DIMETHYL GAMBOGATE,0.75
RUCAPARIB,RUCAPARIB PHOSPHATE,0.9038
TOLFENAMIC ACID,MEFENAMIC ACID,0.7143
MARAVIROC,[3H]MARAVIROC,1.0
MARAVIROC,CCR5 ANTAGONIST 34,0.7941
M4205,IDRX-42,1.0
EMIXUSTAT HYDROCHLORIDE,EMIXUSTAT,0.975
AMPICILLIN TRIHYDRATE,AMPICILLIN (ANHYDROUS),0.9783
AMPICILLIN TRIHYDRATE,AMOXICILLIN ANHYDROUS,0.8235
ALVOCIDIB,ALVOCIDIB HYDROCHLORIDE,0.9811
ALVOCIDIB,RIVICICLIB,0.7213
ESTROGEN,ESTRIOL,0.7333
ESTROGEN,2-HYDROXYESTRADIOL,0.75
ESTROGEN,ALFATRADIOL,1.0
ESTROGEN,PRU-10,0.7292
ESTROGEN,ESTRADIOL 3-METHYL ETHER,0.7447
ESTROGEN,PRU-12,0.7292
MEPAZINE ACETATE,PECAZINE,0.8537
MEPAZINE ACETATE,METHDILAZINE,0.7209
MEPAZINE ACETATE,METHDILAZINE HYDROCHLORIDE,0.7045
DIHYDROERGOTAMINE MESYLATE,"ERGOLOID MESYLATES, USP",0.7009
DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOCRISTINE,0.8152
DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOCRISTINE MESYLATE,0.8587
DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOTOXINE,1.0
VERAPAMIL,METHOXYVERAPAMIL HYDROCHLORIDE,0.8491
VERAPAMIL,(S)-VERAPAMIL,1.0
VERAPAMIL,GALLOPAMIL,0.8654
VERAPAMIL,DEXVERAPAMIL,1.0
DOLUTEGRAVIR SODIUM,CABOTEGRAVIR SODIUM,0.8485
PHA-767491,COMPOUND 8 [PMID: 17480064],1.0
DAIDZEIN,FORMONONETIN,0.7632
DAIDZEIN,PHYTOESTROGEN,0.7143
DAIDZEIN,7-HYDROXY ISOFLAVONE,0.8235
XL228,XL-228,1.0
MACIMORELIN ACETATE,MACIMORELIN,0.9444
DOXYCYCLINE ANHYDROUS,DOXYCYCLINE CALCIUM,0.9821
6-HYDROXYFLAVONE,7-HYDROXYFLAVONE,0.7941
SUCCIMER,TECHNETIUM TC 99M SUCCIMER,0.9167
AGOMELATINE,DIFLUOROAGOMELATINE,0.7674
AGOMELATINE,S26131,0.7674
AGOMELATINE,S26284,0.7674
AGOMELATINE,ISOAMYL-AGOMELATINE,0.7234
QUINIDINE SULFATE,QUINIDINE,0.9153
QUINIDINE SULFATE,QUINIDINE GLUCONATE,0.7432
QUINIDINE SULFATE,QUININE ETHYLCARBONATE,0.7083
QUINIDINE SULFATE,QUINIDINE POLYGALACTURONATE,0.9153
BENZTROPINE,BENZTROPINE MESYLATE,0.8056
MEQUITAZINE,LEVOMEQUITAZINE,1.0
"[125I]BH-NMB (HUMAN, MOUSE, RAT)",RHODEI-LITORIN,0.79
"[125I]BH-NMB (HUMAN, MOUSE, RAT)",NEUROMEDIN B (1-30) (HUMAN),0.8696
"[125I]BH-NMB (HUMAN, MOUSE, RAT)",NEUROMEDIN U-23,0.8696
"[125I]BH-NMB (HUMAN, MOUSE, RAT)",NEUROMEDIN C,0.8696
"[125I]BH-NMB (HUMAN, MOUSE, RAT)",NEUROMEDIN U-25,0.8696
"[125I]BH-NMB (HUMAN, MOUSE, RAT)",NEUROMEDIN B,1.0
"[125I]BH-NMB (HUMAN, MOUSE, RAT)",NEUROMEDIN S-33,0.8696
RETAPAMULIN,LEFAMULIN ACETATE,0.7105
METHYLTHIONINIUM CHLORIDE,METHYLENE BLUE ANHYDROUS,1.0
METHYLTHIONINIUM CHLORIDE,METHYLENE BLUE,1.0
FERULIC ACID,CURCUMIN,0.7429
FERULIC ACID,"O,O'-DIMETHYLCAFFEIC ACID",0.7576
MECHLORETHAMINE HYDROCHLORIDE,MECHLORETHAMINE,0.9231
NERATINIB MALEATE,PELITINIB,0.7159
AZD-6482,AZD6482,1.0
AZD-6482,TGX-221,0.7833
GLESATINIB,SITRAVATINIB,0.7738
TIVOZANIB,TIVOZANIB HYDROCHLORIDE,0.9643
WX-UK1,UPAMOSTAT,0.8382
ASP4058,ASP-4058,1.0
PENTOBARBITAL SODIUM,BUTABARBITAL SODIUM,0.7778
TRETINOIN,ALITRETINOIN,1.0
TRETINOIN,ISOTRETINOIN,1.0
TRETINOIN,ALL-TRANS-RETINAL,0.7674
TRETINOIN,ALL-TRANS-4-OXO-RETINOIC ACID,0.7021
TRETINOIN,13-CIS-RETINAL,0.7674
TRETINOIN,RETINYLRETINOATE,0.7059
TRETINOIN,11-CIS-RETINAL,0.7674
IDAZOXAN,IDAZOXAN HYDROCHLORIDE,0.9688
(+/-)-ERIODICTYOL,HESPERETIN,0.7333
(+/-)-ERIODICTYOL,(R)-PINOCEMBRIN,0.7317
(+/-)-ERIODICTYOL,NARINGENIN,0.7949
(+/-)-ERIODICTYOL,PINOCEMBRIN,0.7317
(+/-)-ERIODICTYOL,HOMOERIODICTYOL,0.7333
LEIUROTOXIN I,PTH-(1-34) (RAT),0.7226
LEIUROTOXIN I,SOMATORELIN,0.7023
LEIUROTOXIN I,TERIPARATIDE,0.7923
LEIUROTOXIN I,TERIPARATIDE ACETATE,0.7923
LEIUROTOXIN I,SERMORELIN,0.7
LEIUROTOXIN I,"[ALA11,22,28]VIP",0.7252
LEIUROTOXIN I,GLUCAGON-LIKE PEPTIDE 2,0.7279
DOVITINIB,DOVITINIB LACTATE,0.8438
BENOXINATE HYDROCHLORIDE,PROPARACAINE,0.7174
BENOXINATE HYDROCHLORIDE,PROPARACAINE HYDROCHLORIDE,0.7391
BENOXINATE HYDROCHLORIDE,BENOXINATE,0.975
BROMPERIDOL,[19F]-HALOPERIDOL,0.7917
FLUOROMETHOLONE,FLUOROMETHOLONE ACETATE,0.7377
ILGINATINIB,NS-018,1.0
2MESADP,ADP,0.7097
2MESADP,2MESATP,0.7424
2MESADP,2-CHLOROADENOSINE-5-TRIPHOSPHATE,0.746
2MESADP,2MESAMP,0.8621
2MESADP,[33P]2MESADP,1.0
CALCIPOTRIENE,DOXERCALCIFEROL,0.8
VEMURAFENIB,PLX-4720,0.8333
APREPITANT,FOSAPREPITANT,0.7397
MIDOSTAURIN,STAUROSPORINE,0.7067
METHYLNALTREXONE,NALOXONE METHIODIDE,0.7419
TOCAINIDE HYDROCHLORIDE,TOCAINIDE,0.963
NAMINIDIL,PINACIDIL,0.7143
NAMINIDIL,(S)-PINACIDIL,0.7143
6-AMINOCAPROIC ACID,AZELAIC ACID,0.7059
6-AMINOCAPROIC ACID,GAMMA-AMINOBUTYRIC ACID,0.7778
THYROXINE,LIOTHYRONINE,0.7442
THYROXINE,"3,5-DIIODO-L-TYROSINE",0.75
THYROXINE,LEVOTHYROXINE,1.0
THYROXINE,DEXTROTHYROXINE SODIUM,0.7619
THYROXINE,DEXTROTHYROXINE,1.0
THYROXINE,[125I]THYROXINE,1.0
THYROXINE,RT3,0.7045
DESVENLAFAXINE SUCCINATE,DESVENLAFAXINE FUMARATE,0.7955
EPINEPHRINE BITARTRATE,EPINEPHRINE,0.7879
EPINEPHRINE BITARTRATE,(+)-ADRENALINE,0.7879
EPINEPHRINE BITARTRATE,RACEPINEPHRINE HYDROCHLORIDE,0.7647
EPINEPHRINE BITARTRATE,RACEPINEPHRINE,0.7879
ETOMIDATE,S-ETOMIDATE,1.0
ETOMIDATE,AMIDATE,1.0
TESTOSTERONE,PROGESTIN,0.7234
TESTOSTERONE,PROGESTERONE,0.7234
TESTOSTERONE,PROGESTERONE ANTAGONIST,0.7234
TREQUINSIN HYDROCHLORIDE,TREQUINSIN,0.9792
CARMINIC ACID,CARMINE,1.0
IMIPRAMINE HYDROCHLORIDE,CLOMIPRAMINE,0.7436
IMIPRAMINE HYDROCHLORIDE,CLOMIPRAMINE HYDROCHLORIDE,0.7692
NOREPINEPHRINE,NORADRENALINE,1.0
NOREPINEPHRINE,L-NOREPINEPHRINE,1.0
NOREPINEPHRINE,NOREPINEPHRINE BITARTRATE,0.7419
WKYMVM,BIM 23056,0.7529
WKYMVM,MEN 10376,0.7975
WKYMVM,D-NAL-CYS-TYR-D-TRP-LYS-VAL-CYS-NAL-NH2,0.7273
WKYMVM,BIM 23058,0.7683
ECONAZOLE NITRATE,MICONAZOLE NITRATE,0.8182
DOSIMERTINIB,OSIMERTINIB,1.0
DOSIMERTINIB,AZ5104,0.7564
DOSIMERTINIB,AUMOLERTINIB,0.8228
DOSIMERTINIB,MOBOCERTINIB,0.7326
DOSIMERTINIB,MOBOCERTINIB SUCCINATE,0.7
DOSIMERTINIB,OSIMERTINIB MESYLATE,0.9589
DOSIMERTINIB,BEFOTERTINIB,0.8125
DOSIMERTINIB,REZIVERTINIB,0.8182
THALIDOMIDE,POMALIDOMIDE,0.7368
SAG1.3,SAG,1.0
HALOBETASOL,FLUTICASONE,0.75
HALOBETASOL,FLUMETHASONE PIVALATE,0.7463
HALOBETASOL,CLOBETASOL,0.7188
MECLOFENAMATE,MECLOFENAMATE SODIUM,0.75
RHAMNETIN,QUERCETIN,0.7381
RHAMNETIN,QUERCETIN DIHYDRATE,0.7209
RHAMNETIN,KAEMPFERIDE,0.7111
ADX10059,RASEGLURANT,1.0
OMBITASVIR/PARITAPREVIR/RITONAVIR,RITONAVIR,1.0
LY341495,[3H]LY341495,1.0
CEP-1347,K-252A,0.7368
CEP-1347,K 252A,0.7368
METHYLDOPA ANHYDROUS,METHYLDOPA (RACEMIC),1.0
HESPERETIN,ISOSAKURANETIN,0.7447
HESPERETIN,HOMOERIODICTYOL,0.8261
SUVECALTAMIDE,TTA-A2,0.7407
[3H]BSP,SULFOBROMOPHTHALEIN,0.7826
CHLORTETRACYCLINE HYDROCHLORIDE,TETRACYCLINE HYDROCHLORIDE,0.7656
CHLORTETRACYCLINE HYDROCHLORIDE,TETRACYCLINE PHOSPHATE COMPLEX,0.75
SF1126,SF-1126,1.0
LAPATINIB,SELATINIB,0.8125
ZM447439,AURORA KINASE INHIBITOR II,0.7031
PROPAFENONE,PROPAFENONE HYDROCHLORIDE,0.9783
THIOPENTAL SODIUM,THIAMYLAL SODIUM,0.7317
LAROTRECTINIB SULFATE,LAROTRECTINIB,0.9365
BAY 55-9837,VASOACTIVE INTESTINAL PEPTIDE,0.7561
BAY 55-9837,SOMATORELIN,0.7561
BAY 55-9837,PEPTIDE YY (3-36),0.708
BAY 55-9837,DULAGLUTIDE,0.7287
BAY 55-9837,K41498,0.7965
BAY 55-9837,PEPTIDE YY HUMAN (3-36),0.708
BAY 55-9837,SERMORELIN,0.7686
BAY 55-9837,"[ALA11,22,28]VIP",0.9043
BAY 55-9837,PG 97-269,0.7815
BAY 55-9837,PROTEIN KINASE INHIBITOR,0.7119
BAY 55-9837,K31440,0.7
BAY 55-9837,[125I]GLP-1-(7-36)-AMIDE,0.7293
BAY 55-9837,SERMORELIN ACETATE,0.7623
BAY 55-9837,GLUCAGON-LIKE PEPTIDE 1-(7-37),0.709
BAY 55-9837,APRAGLUTIDE,0.7442
BAY 55-9837,GLUCAGON-LIKE PEPTIDE 2,0.7143
BAY 55-9837,[125I]BAY 55-9837,0.8205
BAY 55-9837,[125I]GLP-1-(7-37) (HUMAN),0.709
VINBLASTINE SULFATE,VINBLASTINE,0.9592
VINBLASTINE SULFATE,VINDESINE SULFATE,0.8491
VINBLASTINE SULFATE,VINDESINE,0.8113
VINBLASTINE SULFATE,VINFLUNINE,0.75
SUNITINIB,SU-11652,0.8033
SUNITINIB,TOCERANIB,0.7231
FENFLURAMINE HYDROCHLORIDE,DEXFENFLURAMINE,0.9697
FENFLURAMINE HYDROCHLORIDE,DEXFENFLURAMINE HYDROCHLORIDE,1.0
PHENAZOPYRIDINE HYDROCHLORIDE,PHENAZOPYRIDINE,0.9615
BRUCINE,STRYCHNINE,0.7077
CATECHIN,EPICATECHIN,1.0
CATECHIN,EPIGALLOCATECHIN,0.7368
MK-571,VERLUKAST,1.0
CYCLOPENTYLADENOSINE,CCPA,0.7308
CYCLOPENTYLADENOSINE,TRABODENOSON,0.7143
CYCLOPENTYLADENOSINE,TECADENOSON,0.7885
CYCLOPENTYLADENOSINE,GR79236,0.8039
CARVEDILOL,VK-II-86,0.8462
ADENOSINE,ADENOSINE A2B RECEPTOR ANTAGONIST PBF-1129,1.0
ADENOSINE,VIDARABINE,1.0
COMPOUND 27D [PMID: 28231433],COMPOUND 49 [PMID: 30889352],0.7143
ALISERTIB,ALISERTIB SODIUM,0.8611
METHOXYVONE,TECHTOCHRYSIN,0.7317
METHOXYVONE,CHRYSIN DIMETHYL ETHER,0.75
NABIXIMOLS,DRONABINOL,0.8393
NABIXIMOLS,TETRAHYDROCANNABIVARIN,0.7241
NABIXIMOLS,CANNABIDIOL,0.7321
CDK1/2/4 INHIBITOR AG-024322,AG-24322,1.0
DOCOSAPENTAENOIC ACID,GAMMA-LINOLENIC ACID,0.7586
DOCOSAPENTAENOIC ACID,LINOLEIC ACID,0.7931
DOCOSAPENTAENOIC ACID,DOCONEXENT,0.7143
DOCOSAPENTAENOIC ACID,EICOSAPENTAENOIC ACID,0.8519
DOCOSAPENTAENOIC ACID,LINOLENIC ACID,1.0
DOCOSAPENTAENOIC ACID,ARACHIDONIC ACID,0.7
ASENAPINE MALEATE,ASENAPINE,0.7907
UROKINASE,CAMBENDAZOLE,1.0
MAPROTILINE,MAPROTILINE HYDROCHLORIDE,0.9706
BUSPIRONE HYDROCHLORIDE,BUSPIRONE,0.9756
BUSPIRONE HYDROCHLORIDE,GEPIRONE,0.7174
APATORSEN,ATL1102,0.8793
APATORSEN,INOTERSEN,0.9189
APATORSEN,CUSTIRSEN SODIUM,0.7698
APATORSEN,MIPOMERSEN,0.7008
APATORSEN,NUSINERSEN,0.8198
APATORSEN,VOLANESORSEN,0.9189
APATORSEN,TOFERSEN,0.85
APATORSEN,LY2181308,0.822
APATORSEN,CUSTIRSEN,0.8487
AZD-8186,PI3KBETA INHIBITOR AZD8186,1.0
CLEBOPRIDE,CLEBOPRIDE MALEATE,0.9091
RUXOLITINIB,DEURUXOLITINIB,1.0
RUXOLITINIB,RUXOLITINIB PHOSPHATE,0.9091
DOCETAXEL ANHYDROUS,CABAZITAXEL,0.7921
DOCETAXEL ANHYDROUS,MILATAXEL,0.7642
DOCETAXEL ANHYDROUS,NAB-PACLITAXEL,0.7677
DOCETAXEL ANHYDROUS,LAROTAXEL,0.7647
DOCETAXEL ANHYDROUS,BMS-275183,0.7404
DOCETAXEL ANHYDROUS,TAXOL C,0.7103
DOCETAXEL ANHYDROUS,BMS-188797,0.7184
CAELYX,PIRARUBICIN,0.7805
CAELYX,DOXORUBICIN HYDROCHLORIDE,1.0
CAELYX,ADRIAMYCIN,0.9857
CAELYX,ALDOXORUBICIN,0.7234
CAELYX,RTA 744,0.8025
CAELYX,EPIRUBICIN,0.9857
CAELYX,ANTHRACYCLINE ANTINEOPLASTIC ANTIBIOTIC,0.8649
CAELYX,DAUNORUBICIN HYDROCHLORIDE,0.8784
CAELYX,EPIRUBICIN HYDROCHLORIDE,1.0
CAELYX,DAUNORUBICIN LIPOSOMAL,0.7647
CAELYX,BERUBICIN HYDROCHLORIDE,0.8025
CAELYX,DOXORUBICIN LIPOSOME,0.9857
CAELYX,BERUBICIN,0.7901
CAELYX,CARUBICIN,0.7403
CAELYX,DUBORIMYCIN,0.7692
CAELYX,NEMORUBICIN,0.7241
CAELYX,DAUNORUBICIN CITRATE,0.7647
CAELYX,SABARUBICIN,0.7867
CAELYX,13-DEOXYDOXORUBICIN,0.8158
ENDOTHELIN-1,ENDOTHELIN-3,0.8849
ENDOTHELIN-1,SARAFOTOXIN S6C,0.7748
ENDOTHELIN-1,SARAFOTOXIN S6B,0.7911
ENDOTHELIN-1,ENDOTHELIN-2,0.942
LEVOBETAXOLOL HYDROCHLORIDE,BETAXOLOL,0.9773
LEVOBETAXOLOL HYDROCHLORIDE,BETAXOLOL HYDROCHLORIDE,1.0
LEVOBETAXOLOL HYDROCHLORIDE,CICLOPROLOL,0.7872
LEVOBETAXOLOL HYDROCHLORIDE,LEVOBETAXOLOL,0.9773
PERPHENAZINE,PROCHLORPERAZINE,0.8
PERPHENAZINE,ACETOPHENAZINE,0.7059
PERPHENAZINE,FLUPHENAZINE HYDROCHLORIDE,0.7059
PAZOPANIB,PAZOPANIB HYDROCHLORIDE,0.9825
VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE,0.9722
TEDUGLUTIDE,VASOACTIVE INTESTINAL PEPTIDE,0.7829
TEDUGLUTIDE,FE 203799,0.8889
TEDUGLUTIDE,SOMATORELIN,0.7164
TEDUGLUTIDE,HUMAN GIP(5-30)NH2,0.7214
TEDUGLUTIDE,TERIPARATIDE,0.7647
TEDUGLUTIDE,GLUCAGON (RDNA),0.8397
TEDUGLUTIDE,TASPOGLUTIDE,0.7676
TEDUGLUTIDE,GLUCAGON HYDROCHLORIDE,0.8333
TEDUGLUTIDE,ALBIGLUTIDE,0.8397
TEDUGLUTIDE,TERIPARATIDE ACETATE,0.7647
TEDUGLUTIDE,PACAP-38,0.7071
TEDUGLUTIDE,SECRETIN SYNTHETIC PORCINE,0.712
TEDUGLUTIDE,ENFUVIRTIDE,0.7121
TEDUGLUTIDE,SERMORELIN,0.7143
TEDUGLUTIDE,GLUCAGON-LIKE PEPTIDE 2-(3-33),0.9016
TEDUGLUTIDE,EXENDIN-3,0.7582
TEDUGLUTIDE,GLP-2 ANALOGUE 10,0.9835
TEDUGLUTIDE,HUMAN GIP(3-30)NH2,0.7571
TEDUGLUTIDE,SERMORELIN ACETATE,0.709
TEDUGLUTIDE,APRAGLUTIDE,0.7704
TEDUGLUTIDE,GLUCAGON-LIKE PEPTIDE 2,0.8615
DESOGESTREL,ETONOGESTREL,0.7167
PSB36,ROLOFYLLINE,0.7885
CABAZITAXEL,MILATAXEL,0.7117
CABAZITAXEL,NAB-PACLITAXEL,0.7115
CABAZITAXEL,LAROTAXEL,0.7767
CABAZITAXEL,BMS-275183,0.7037
CABAZITAXEL,BMS-184476,0.7222
BQ123,[3H]BQ123,1.0
BQ123,BQ-123,1.0
VINORELBINE TARTRATE,VINBLASTINE,0.7069
VINORELBINE TARTRATE,VINFLUNINE,0.7265
TETRAHYDROZOLINE HYDROCHLORIDE,TETRAHYDROZOLINE,0.9706
NAPHAZOLINE HYDROCHLORIDE,NAPHAZOLINE,0.9677
NIMODIPINE,NITRENDIPINE,0.7037
NIMODIPINE,(S)-NITRENDIPINE,0.7037
